group,title
Строительные работы основания молниеотвода (Куст 1БИС),6
WBS: ОКС 1376П - Куст-89.2.2.1.7 Прожекторная мачта (АС),6
Устройство свайного основания (поз.65.4),6
Монтаж защитных труб для электропроводок (АВК),6
Монтаж защитных труб для электропроводок (АПТ),6
Устройство свайного основания (поз.65.6),6
Устройство свайного основания (поз.65.7),6
"WBS: ОКС 1376П - Куст-89.2.2.1.3 Емкость дренажная, V=8м3 (АС)",6
Устройство свайного основания (поз.66),6
Устройство свайного основания (поз.71),6
Строительные работы основания мачты прожекторной (Куст 72),6
Монтаж кабельной продукции (С027),6
Устройство свайного основания на переходе (Поз.1),6
Строительные работы основания мачты прожекторной (Куст 70),6
Строительные работы основания блока распределения воды (Куст 72),6
Строительные работы основания блока распределения воды (Куст 69),6
Монтаж резервуара (поз.13.1),6
Строительные работы основания  блока технологического (Куст 8),6
Строительные работы основания  блока технологического (Куст 34),6
Монтаж оборудования и провода (С142),6
Монтаж оборудования и трубопроводов (поз.12),6
Монтаж оборудования и трубопроводов (поз.26.2),6
Монтаж оборудования и трубопроводов (поз.29),6
Строительные работы основания  ,6
Монтаж оборудования и трубопроводов (поз.4),6
Монтаж оборудования и трубопроводов (поз.5.2),6
Монтаж оборудования и трубопроводов (поз.5.4),6
Монтаж оборудования и трубопроводов (поз.5.5),6
Монтаж оборудования и трубопроводов (поз.5.6),6
Монтаж оборудования и трубопроводов (поз.5.8),6
Монтаж оборудования и трубопроводов (поз.8),6
Строительные работы опор трубопровода (Куст 72),6
WBS: ОКС 1376 - Монтаж оборудования ВОЛС,6
Монтаж площадок обслуживания (поз.201),6
Строительные работы опор трубопровода (Куст 34),6
Монтаж оборудования (поз.58.9),6
Устройство сетей теплоснабжения (поз.28.2),6
Монтаж металлоконструкций  (С119.ВХ1-ВХ2) ,6
Монтаж металлоконструкций фундамента (поз.58.8),6
Строительные работы основания блока распределения воды (Куст 138),6
Строительные работы основания блока переключателя скважин многоходового (Куст 70),6
Строительные работы основания блока переключателя скважин многоходового (Куст 57),6
Строительные работы основания блока переключателя скважин многоходового (Куст 5),6
Монтаж металлоконструкций (Поз.4),6
Монтаж металлоконструкций (поз.17.1-17.10),6
Монтаж металлоконструкций (поз.42),6
Монтаж металлоконструкций (поз.54),6
Монтаж металлоконструкций (поз.65.18),6
Монтаж металлоконструкций кабельной эстакады (С119.ВХ3-ПСП),6
Устройство свайного основания под эстакаду (поз.201),6
Монтаж металлоконструкций опор трубопровода и КЭ (С027),6
Устройство свайного основания (ВХ1.Огр),6
Строительные работы основания блока контроля и управления,6
Монтаж металлоконструкций фундамента (поз.19.1-19.2),6
Строительные работы основания (поз.1) (Куст 5),6
Монтаж металлоконструкций фундамента (поз.5.8),6
Водопровод речной воды (В7) (ВХ3.С019),6
Мостовое полотно (поз.ЛЧ-ИС3),6
Т.С037 Инженерные сети (АС1.4.5) (Монтаж металлоконструкций),6
Устройство основания под мачты (поз.65.11),6
Т.47.7 Мачта прожекторная Н=35 м (КД ЭН),6
WBS: ОКС 866 - Куст-27.9.2.7.6 Строительные работы опор сетей инженерных,6
Т.47.6 Мачта прожекторная Н=35 м (КД ЭН),6
Устройство водопропускной трубы (ИС),6
Вентиляция (ВР) (поз.47),6
Блок бытового обслуживания,6
Т.47.4 Мачта прожекторная Н=35 м (КД ЭН),6
WBS: ОКС 853 - Куст-25.9.2.2.3 Строительные работы опор сетей инженерных,6
"ТК/06/1-01/Межплощадочные трубопроводы от пл.ОБП, РЭБСП, ВЖК до т.1/Технологические коммуникации",6
ВЗ/поз.345/Цепи вторичной коммутации (Подстанция 35/10 кВ),6
Температурная стабилизация грунтов (С142),6
"ТК/Монтаж трубопроводов, ЗРА, оцинковка (Сети трубопроводов газ на факел)",6
Температурная стабилизация грунтов (С119.ВХ2-ПСП),6
WBS: ОКС 866 - Куст-36.9.2.3.4 Строительные работы опор сетей инженерных,6
Устройство опор. ВЛ-35 кВ (Куст 301),6
WBS: ОКС 853 - Куст-25.9.2.4.3 Строительные работы опор сетей инженерных,6
Устройство основания под мачты (поз.65.2),6
WBS: Фаза 2.2 Юг 4 ур.4.1.3.7 Устройство фундамента. Линейный трубопровод КУ7 (т.вр.К316)- т.вр.К-7-ЦПС,6
WBS: Фаза 2.2 Куст 301 ур.4.1.1.2.27 Электроснабжение,6
WBS: ОКС 2916 - Куст-76.3.3.1.8 Высоконапорный водовод. Трубопровод диаметром 89х8мм К76 - т.вр. К76,6
Устройство пандуса,6
АС/поз.319.1/Устройство свайного основания (в т.ч. м/к и ж/б конструкции основания РВС),6
Тит.С037 ВМР00.2-водометанольный раствор на ЦПС,6
Т.С137 Инженерные сети (ЛТ),6
АС/поз.339/Архитектурно-строительные решения (Емкость дренажная V=25м3),6
Устройство заземления (С142),6
Устройство заземления (ВХ3.С027),6
Теплоизоляция трубопровода системы канализации,6
"WBS: ОКС 853 - Куст-25.9.2.3.9 Монтаж электрооборудования, молниезащиты и заземления",6
"Т.5.1,5.3,5.4 Монтаж оборудования САМ и КЗ в блоке даивгателя",6
WBS: ОКС 8833 - Куст-152.3.2.1.9 Электрические сети (ЭС)-027ЭМ Этап.1.10,6
WBS: ОКС 2916 - Куст-76.3.2.7.3 Строительные работы. Блок напорной гребенки,6
Устройство основания под мачты (поз.65.3),6
Бетонная отмостка (поз.5.1),6
Внутриплощадочные сети электрические (Куст 29),6
Устройство основания под мачты (поз.65.17),6
Устройство основания под мачты (поз.65.7),6
Водопровод противопожарный (Куст 1БИС),6
АЗ,6
Бетонная площадка (поз.33),6
Устройство основания под мачты (поз.65.6),6
Устройство основания под мачты (поз.65.4),6
Т.С037 Инженерные сети (АС1.4.1) (Монтаж металлоконструкций),6
Т.42.6 Ограждение площадки подстанции (АС),6
АС.ТТ/поз.4.1.1/Монтаж операторной,6
"WBS: ОКС 2916 - Куст-56.2.4.1.2 Высоконапорный водовод: 89х8, 219х12; Куст 56 - т.вр. К56 (т.вр. к41, заказ 853.13), т3 (ЛТ)",6
WBS: ОКС 866 - Куст-36.9.2.9.16 Строительные работы опор сетей инженерных,6
Устройство площадки (ВХ2.Поз.5),6
WBS: ОКС 866 - Куст-35.9.2.9.5 Строительные работы основания блока распределения воды,6
Узел 1. Нефтегазопровод (Куст 76),6
"Т.4.5 Блок технологический АВО газа и сепараторов (ЭОМ,АТХ,АПТ)",6
"Устройство основания (поз.20.1..20,30)",6
Тит. С202 Газопровод реверсного газа,6
Температурная стабилизация грунтов (С119.ВХ1-ВХ2),6
WBS: ОКС 8833 - Куст 141 Линия электропередач воздушная 10 кВ (АС),6
Устройство основания под мачты (поз.65.8),6
WBS: ОКС 8833 - ВЛ-10 кВ на куст №141 Строительно-монтажные работы,5
Монтаж трубопроводов канализации (НК4),5
Устройство свайного основания (поз.64),5
Строительные работы электрической воздушной линии 10 кВ,5
Т.8414 Инженерные сети (Подключение сетей КС),5
Строительные работы опор трубопровода (Куст 5),5
"Линейные трубопроводы т.вр.К201-т.вр.К143,144. Узел 5Л",5
Строительные работы основания устья добывающей скважины (Куст 70),5
WBS: ОКС 2916 - Куст-76.3.2.16.2 Сети технологические,5
Стены (поз.50),5
Термостабилизация грунтов (поз.65.8),5
Термостабилизация грунтов (поз.65.9),5
Устройство свайного основания (поз.60),5
WBS: ОКС 11-1602.2 - ПС №10 + ВЛ35кВ.2.9.8 Трансформатор собственных нужд (ТСН) (АС),5
Устройство свайного основания (поз.58.8),5
Тит.8414 Инженерные сети УПСГ-С037-ТК2,5
WBS: ОКС 108.17 - Куст-64.2.2.1.9 Электрические сети (ЭС),5
Строительные работы опор (Куст 47),5
WBS: ОКС 108.17 - Куст-88.3.2.1.13 Охранная и охранно-пожарная сигнализация (ОС),5
Т.С037 Инженерные сети (АС1.2),5
Монтаж трубопровода отопления и теплового узла,5
WBS: ОКС 1376П - Куст-93.2.3.1.13.1 Узел приема очистного устройства (АС),5
Монтаж технологического оборудования,5
Строительные работы блока переключателя скважин многоходового (Куст 27),5
WBS: ОКС 2916 - Куст-76.3.2.17.2 Сети технологические,5
WBS: ОКС 1376П - Куст-93.2.3.1.6.1 Узел задвижек 2 (АС),5
WBS: ОКС 11-1602.2 - ПС №10 + ВЛ35кВ.2.9.6 ЗРУ 35 кВ (АС),5
Монтаж системы производственный водопровод В3,5
"WBS: ОКС 1376П - Куст-93.2.3.1.6.2 Узел задвижек 2, нефтегазопровод (ЛТ)",5
WBS: ОКС 2916 - Куст-76.3.2.17.1 Строительные работы. Сети инженерные,5
"WBS: ОКС 1376П - Куст-93.2.3.1.7.2 Узел задвижек 4, нефтегазопровод (ЛТ)",5
Водопровод противопожарный (Куст 72),5
"Куст-35.9.2.9.24 Монтаж электрооборудования, молниезащиты и заземления",5
Статическое испытание свай (поз.ЛЧ-ИС3),5
Нефтегазопровод Ду-159Х8 (Куст 70),5
Монтажные работы.Электрическая воздушная линия ВЛ-10кВ (Куст 34),5
Бетонная отмостка (поз.5.7),5
Трубопровод сброса с предохранительного клапана (Куст 27),5
WBS: ОКС 853 - Куст-25.9.2.9.23 Трубопровод сброса с предохранительного клапана,5
Наружные сети канализации (ВХ2.Поз.2),5
Наружные сети. Обвязка (НК) (поз.32.2),5
"WBS: ОКС 1376П - Куст-94.2.2.1.4 Емкость дренажная, V=8м3 (НК)",5
Узел 1. Нефтегазопровод (Куст 103),5
WBS: ОКС 1376П - Куст-94.2.2.1.5 Трансформаторная подстанция (ЭМ),5
Нефтегазопровод Ду-159Х8 (Куст 34),5
WBS: ОКС 866 - Куст-5.9.2.7.10.1 Строительные работы опор сетей инженерных,5
WBS: ОКС 2916 - Куст-76.3.2.14.2 Сети технологические,5
Монтаж трубопроводов теплоснабжения (поз.13.1),5
WBS: ОКС 866 - Куст-45.9.3.3.4 Строительные работы основания (поз.2),5
Нефтегазопровод Ду-219Х8 (Куст 69),5
"Бетонная площадка (поз.30.1,30.2)",5
Сети противопожарного водопровода В2 (ТК1),5
Бетонная площадка (поз.35),5
Узел ввода,5
"WBS: ОКС 1376П - Куст-94.2.3.1.2 Нефтегазопровод, высоконапорный водовод (ЛТ) К94 - т.вр. К94",5
WBS: ОКС 108 - Куст-88.9.5.1.1 Строительные работы электрической воздушной линии 10 кВ,5
Сети пожарной сигнализации (ПС),5
КС-4.7- (АС) (Архитектурно-строительные решения),5
Шинопровод средней мощности (2 шт),5
Монтажные работы сети ОС (поз.50),5
Строительные работы. Емкость дренажная V=8м3 (Куст 29),5
"Крепление трубопровода канализации, и проход через стены блок-модуля",5
Кровля (поз.11),5
Монтаж трубопроводов теплоснабжения (поз.13.2),5
Монтаж трубопроводов теплоснабжения (поз.13.3),5
Монтаж трубопроводов теплоснабжения (поз.13.4),5
"Т.7 Блок подготовки топливного газа (ЭР,ЭО,КИПиА,ОПС)",5
Монтаж узла задвижек №1 (нефтегазопровод) (Куст 69),5
WBS: ОКС 1376П - Куст-93.2.4.1.2 Электрическая воздушная линия 10кВ (ЭС),5
Монтаж установки для сжигания нефтешламов,5
"Строительные работы электрической воздушной линии 10 кВ (Куст 5) (Узел№48 - т.вр.К-138, т.вр К-138 - К-138)",5
Монтаж электрооборудования (поз.65.18),5
Строительные работы основания устья добывающей скважины (Куст 1БИС),5
Устройство покрытий,5
Монтаж электрооборудования (поз.65.8),5
"Монтаж электрооборудования, молниезащиты и заземления, сделано все, кроме БРВ и информационного заземления",5
Монтаж электротехнического оборудования (поз.59.2),5
Куст-34.9.2.9.16 Строительные работы опор сетей инженерных,5
Трубопровод дизельного топлива из резервуаров (поз.С039) (ТХТ-2),5
Монтаж эстакады (поз.201),5
WBS: ОКС 853 - Куст-25.9.2.9.22 Сети дренажа,5
Монтаж ёмкости авариного слива масла V=40м3 (поз. 4),5
Бетонная отмостка (поз.5.2),5
Сопряжение моста с насыпью (поз.ЛЧ-ИС1),5
Строительные работы. Емкость дренажная V=8м3 (Куст 103),5
Строительные работы. Емкость дренажная V=8м3 (Куст 15),5
WBS: ОКС 853 - Куст-25.9.2.9.11 Монтаж технологического оборудования емкости дренажной (V=8 м3),5
Монтаж КИП и А (Куст 72),5
Термостабилизация грунтов (поз.65.7),5
WBS: ОКС 1376П - Куст-152.2.2.2.6 Сети электрические (ЭМ),5
WBS: Фаза 2.2 Юг 4 ур.4.1.3.1.2 Монтаж. Линейный трубопровод К301-КУ7 (т.вр.К316),5
Строительные работы основания емкости дренажной (V=8 м3) (Куст 74),5
Строительные работы основания блока контроля и управления (Куст 35),5
Строительные работы основания емкости дренажной (V=8 м3) (Куст 75),5
Строительные работы основания блока контроля и управления (Куст 34),5
"WBS: ОКС 853 - Куст-136.9.2.1.5 Монтаж электрооборудования, молниезащиты и заземления",5
Строительные работы основания мачты прожекторной (Куст 138),5
Строительные работы основания блока контроля и управления (Куст 28),5
Строительные работы основания блока контроля и управления (Куст 1БИС),5
Тепловая изоляция трубопроводов (ТК),5
Монтаж металлоконструкций фундамента (поз.26.2),5
WBS: ОКС 853 - Куст-25.9.2.2.4 Выкидные трубопроводы,5
Строительные работы основания мачты прожекторной (Куст 7),5
"WBS: ОКС 1376П - Куст-80.2.3.1.12 Высоконапорный водовод (89х8),  узел14/1376 (Куст 81) - Куст 81 - (ЛТ)",5
Монтаж металлоконструкций фундамента (поз.5.7),5
"АС/поз.2.29.2/Устройство свайного основания, монтаж металлоконструкций",5
Монтаж кабельной продукции (ЭС С127),5
WBS: ОКС 1376П - Куст-32.2.2.1.4 Площадка механизированной добычи (АС),5
Устройство свайного основания на ПК 16+65.5 ВЛ-10 кВ (С142) ,5
Устройство свайного основания на ПК 16+29.7 ВЛ-10 кВ (С142) ,5
Монтаж кабелей контрольных (поз.50),5
"WBS: ОКС 1376П - Куст-81.2.3.1.6.3 Узел задвижек 14, высоконапорный водовод (ТН)",5
WBS: ОКС 1376П - Куст-81.2.4.1.1 Электрическая воздушная линия 10кВ (АСЭ),5
АС/Ограждение площадки ХАЛ,5
Монтаж канализации (НК2),5
Строительные работы основания блока контроля и управления (Куст 5),5
"ТХ/поз.340/Монтаж тех.трубопроводов, ЗРА (Емкость дренажная аварийного слива масла V=8 м3)",5
WBS: Фаза 2.2 Юг 4 ур.4.1.3.5 Устройство фундамента. Линейный трубопровод К301-КУ7 (т.вр.К316),5
Ёмкость дренажная (V=8м3) (АС),5
Устройство свайного основания под статические испытания (поз.47),5
"WBS: Фаза 2.2 Юг 4 ур.4.1.3.4 Монтаж олений переход ПК15+6,5 - ПК 16+20,5",5
Устройство свайного основания под статические испытания (поз.15),5
Строительные работы основания емкости дренажной (V=8 м3) (Куст 45),5
Строительные работы основания емкости дренажной (V=8 м3) (Куст 5),5
Строительные работы основания блока распределения воды (Куст 28),5
Строительные работы основания блока переключателя скважин многоходового (Куст 8),5
Монтаж корпуса общежития,5
АКЗ попозиционно (1 этап),5
WBS: Фаза 2.2 Юг 4 ур.4.1.3.1.5 Устройство фундамента. Линейный трубопровод К301-КУ7 (т.вр.К316),5
АКЗ трубопроводов (ТК),5
Устройство свайного основания перехода (С119.В-ВХ3),5
Монтаж колодцев,5
Монтаж колодца смотрового К1 (ВХ2.С020),5
Строительные работы основания блока переключателя скважин многоходового (Куст 1БИС),5
Монтаж металлоконструкций (поз.4),5
WBS: Фаза 2.2 Юг 4 ур.4.1.3.14 Монтаж. Узел СОД №1,5
Строительные работы основания емкости дренажной (V=8 м3) (Куст 7),5
АС.2/поз.230/Архитектурно-строительные решения,5
Строительные работы основания блока контроля и управления (Куст 68),5
WBS: ОКС 1376П - Куст-81.2.4.1.2 Электрическая воздушная линия 10кВ (ЭС),5
Устройство свайного основания (поз.68.2),5
Монтаж опор,5
Строительные работы основания  блока технологического (Куст 75),5
Монтаж Консольного крана,5
Термостабилизация грунтов (поз.201),5
Монтаж оборудования и трубопроводов (поз.36),5
Монтаж оборудования и трубопроводов (поз.5.1),5
Монтаж КИП и А (Куст 73),5
"КС-36, 38…40-АС (Архитектурно-строительные решения)",5
Термостабилизация грунтов (поз.65.10),5
Термостабилизация грунтов (поз.65.11),5
Монтаж оборудования и трубопроводов (поз.5.7),5
Монтаж КИП и А (Куст 45),5
Монтаж оборудования и трубопроводов (поз.58.8),5
Монтаж КИП и А (Куст 28),5
Монтаж КИП и А (Куст 1БИС),5
Монтаж оборудования и трубопроводов (поз.7.1-7.4),5
Термостабилизация грунтов (поз.65.13),5
Термостабилизация грунтов (поз.65.17),5
Термостабилизация грунтов (поз.65.18),5
Строительные работы опор трубопровода (Куст 8),5
Устройство склада ГСМ (поз.58.3),5
Т.С037 Инженерные сети (АС1.3) (Монтаж металлоконструкций),5
Термостабилизация грунтов (поз.65.5),5
Термостабилизация грунтов (поз.65.6),5
Монтаж ограждения (поз.38),5
"Строительные работы основания подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 68)",5
Монтаж оборудования и трубопроводов (поз.27),5
Монтаж Ростверка РМ1 (поз.58.6),5
Монтаж дверных и оконных блоков (поз.47),5
WBS: ОКС 853 - Куст-1 ВЗ Обустройство куста,5
Устройство свайного основания (поз.65.8),5
Строительные работы основания  блока технологического (Куст 71),5
Т.С137 Инженерные сети (ЭЛ),5
Монтаж и отделка стен (поз.47),5
"Монтаж защитных элементов ограждения, АКЗ (Поз.1)",5
WBS: ОКС 8833- Куст-141.2.2.2.6 Сети электрические (ЭМ),5
WBS: ОКС 1376П - Куст-109.2.2.2.2 Блок напорной гребенки (АС),5
Строительные работы основания мачты прожекторной № 2 (Куст 138),5
Строительные работы основания  блока технологического (Куст 35),5
Строительные работы основания мачты прожекторной № 2 (Куст 72),5
WBS: ОКС 2916 - Куст-76.3.2.5.3 Внутриплощадочные сети электрические,5
Строительные работы основания  блока технологического (Куст 28),5
WBS: ОКС 1376П - Куст-89.2.4.1.2 Электрическая воздушная линия 10кВ (ЭС),5
"WBS: ОКС 1376П - Куст-109.2.2.1.4 Емкость дренажная, V=8м3 (НК)",5
Водопровод противопожарный (Куст 70),5
Монтаж оборудования и трубопроводов (поз.2),5
"WBS: ОКС 1376П - Куст-93.2.2.1.14 Площадочные нефтегазосборные сети, водовод системы поддержания пластового давления (ППД) (ТК)",5
"Строительные работы основания подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 45)",5
Монтаж оборудования и трубопроводов (поз.26.1),5
WBS: ОКС 2916 - Куст-76.3.2.6.1 Строительные работы. Сети инженерные,5
Монтаж Ростверка РМ2 (поз.58.6),5
Щиты и пульты ОБП ВЖК,5
Бетонная отмостка (поз.5.6),5
"ГС00.1 - ГАЗ с ЦПС на ГПА-1.1, ГПА-1.2 (ЭО)",5
Инженерный блок,5
Установка и обвязка бойлеров горячей воды,5
"Подвеска провода, установка оборудования и заземление электрической воздушной линии 10 кВ (Куст 71)",5
"ОКС 1376П - Куст-80 Емкость дренажная, V=8м3 (АС)",5
"Подвеска провода, установка оборудования и заземление электрической воздушной линии 10 кВ (Куст 75)",5
Вертикальная планировка (С119.ВХ2-ПСП),5
Освещение переходной эстакады (ВХ1.С027),5
Устройство свайного основания (поз.12),5
"Т.5.7 Емкость дренажная V=12,5 м3 (АС)",5
Строительные работы. Электрические воздушные линии 10кВ (Куст 85),5
Строительные работы. Электрические воздушные линии 10кВ (Куст 81),5
Строительные работы. Электрические воздушные линии 10кВ (Куст 80),5
ГФН5.7 - Газ на факел,5
Высоконапорный водовод т.вр.К42-К42,5
ГФН4.7 - Газ на факел,5
Устройство противопожарной защиты (поз.28.2),5
WBS: ОКС 866 - Куст-36.9.2.9.11 Монтаж технологического оборудования емкости дренажной (V=8 м3),5
Производственно-бытовая канализация К3К2Н (ТК3),5
Сезонные работы марки ГП (С119.ВХ2-ПСП),5
Сети автоматизированной системы управления (АК),5
Строительные работы. Электрические воздушные линии 10кВ (Куст 67),5
"ОБП ВЖК.ВИС 1 Этап.ОБП, ВЖК, РЭБСП/В1",5
Строительные работы. Электрические воздушные линии 10кВ (Куст 55),5
Приобретение и монтаж технологического оборудования  емкости дренажной (V=8 м3) (Куст 71),5
О-ГП (поз.10.2-10.2),5
Приобретение и монтаж технологического оборудования узла пуска-приема очистного устройства (нефтегазопровод) (Куст 26),5
Строительные работы. Электрические воздушные линии 10кВ (Куст 53),5
Нефтесборный коллектор (Куст 75),5
Нефтесборный коллектор (Куст 74),5
Прожекторная мачта (ЭМ),5
КГ4.7 - конденсат в разделитель конденсата,5
"WBS: ОКС 866 - Куст-36.9.2.4.7 Монтаж электрооборудования, молниезащиты и заземления",5
"Подвеска провода, установка оборудования и заземление электрической воздушной линии 10 кВ (Куст 69)",5
Установка измерительная (Блок технологический) (АС),5
"WBS: ОКС 866 - Куст-36.9.2.2.5 Монтаж электрооборудования, молниезащиты и заземления",5
Электрообогрев трубопроводов (С-027) (ВХ3.С027),5
WBS: ОКС 2916 - Куст-29.3.2.10.2 Сети технологические,5
 Т.21.3 Емкость аварийная V=16 м3 (АС),5
Оборудование для установки площадки ПСП (С133),5
Устройство проездов и площадок (ВХ2.Устр.Пр),5
Прокладка трубопроводов (поз.50),5
Т.21.1 Блок регенерации метанола (АТХ),5
169.10.00-КС-37-АС (Архитектурно-строительные решения),5
169.10.00-КС-48-АС (Архитектурно-строительные решения),5
"Высоконапорный водовод Ду-219х12, К68 - т.вр. К68, узел 25/77 (Т13)",5
"ВЗ/поз.339/Монтаж тех.трубопроводов, ЗРА, оцинковка (Емкость дренажная V=40м3)",5
Противопожарная вентиляция,5
ОКС 866 - Куст-7.9.4.5.4 Строительные работы основания (поз.4),5
WBS: ОКС 853 - Куст-25.9.2.9.8 Монтаж электрооборудования КТП и ЭЦН,5
Т.22.1.1-ТХ Площадка резервуаров хранения метанола (ТХ),5
"Подвеска провода, установка оборудования и заземление электрической воздушной линии 10 кВ (Куст 35)",5
Двери (поз.50),5
WBS: ОКС 2916 - Куст-29.3.2.1.15 Внутриплощадочные сети электрические,5
"Емкость дренажная, V=8м3 (НК)",5
"Подвеска провода, установка оборудования и заземление электрической воздушной линии 10 кВ (Куст 45)",5
Приобретение и монтаж технологического оборудования  емкости дренажной (V=8 м3) (Куст 72),5
Устройство свайного основания (поз.101),5
ОКС 866 - Куст-37.9.2.3.10 Монтаж приборов и средств автоматизации,5
Д22.1.4 - дренаж трубопроводов в ЕД-2 (ЭО),5
WBS: ОКС 2916 - Куст-102.3.3.1.8 Высоконапорный водовод. Трубопровод диаметром 89х8мм К102 - т.вр. К102,5
"Подвеска провода, установка оборудования и заземление электрической воздушной линии 10 кВ (Куст 5)",5
В1 (водопровод холодной воды),5
Операторная (ГГС),5
ВЗ/поз.343/Внутриблочная досборка (Блок обогрева персонала с щитовой АСУ),5
Электрическая воздушная линия 10кВ (АСЭ),5
ЭО/С027/Электрообогрев (1 этап),5
Проверка и настройка,5
Т.42.1 Закрытое распределительное устройство 35 кВ,5
"WBS: ОКС 866 - Куст-26.9.2.9.24 Монтаж электрооборудования, молниезащиты и заземления",5
Строительные работы. Электрические воздушные линии 10кВ (Куст 136),5
ГТ00.1.2 - Газ топливный на ГПА-1.2,5
Нефтегазопровод. Трубопровод диаметром 219х8мм (Куст 15),5
WBS: ОКС 866 - Куст-36.9.2.9.25 Монтаж приборов и средств автоматизации,5
ГТ00.1.1 - Газ топливный на ГПА-1.1,5
Нефтегазопровод. Трубопровод диаметром 159х8 (Куст 15),5
75.17.2-ТГП(УГ5;КГС2)-Л Линейная часть  ,5
Устройство заземления (ВХ2.С027),5
WBS: ОКС 866 - Куст-36.9.2.9.9 Монтаж электрооборудования КТП и ЭЦН,5
WBS: ОКС 2916 - Куст-29.3.3.1.8 Высоконапорный водовод. Трубопровод диаметром 89х8мм,5
"WBS: ОКС 866 - Куст-35.9.2.5.11 Монтаж электрооборудования, молниезащиты и заземления",5
Нефтегазопровод. Трубопровод диаметром 114х8мм (Куст 15),5
75.17.2-ТГП-(ННБ)-Л Линейная часть,5
КС-22.5-АС (Архитектурно-строительные решения) ,5
Сети дренажа (Куст 73),5
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 35)",5
WBS: ОКС 866 - Куст-37.9.2.1.4 Выкидные трубопроводы,5
ГС4.13 - Газ с третьей ступени сжатия,5
 ГД00.2 - газ к разделителю (ЭО),5
Водопровод противопожарный (Куст 138),5
Устройство свайного основания (ВХ2.Поз.2),5
 ВЛ35 от ПС 35/10кВ №5 до ПС 35/10кВ №6,5
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 75)",5
Т.4.2 Блок электроснабжения и САУ (АС),5
Воздухозаборная труба (поз.11),5
ГС00.1.1 - газ на ГПА-1.1 (ЭО),5
Электрические сети (ЭЛ),5
0-ГП. Вертикальная планировка (0-ГП-Верт),5
"Приобретение и монтаж электрооборудования. Подстанция трансформаторная 10/0,4 кВ. Площадка электрооборудования ЭЦН (Куст 69)",5
Бетонные работы,5
WBS: ОКС 866 - Куст-36.9.2.9.22 Сети дренажа,5
Электроснабжение мачты прожекторной (поз.38),5
"01/2-01-АС/Внутриплощадочные инженерные сети площадки ОБП, ВЖК, РЭБСП",5
"Приобретение и монтаж электрооборудования. Подстанция трансформаторная 10/0,4 кВ. Площадка электрооборудования ЭЦН (Куст 45)",5
Высоконапорный водовод. Трубопровод диаметром 168х10мм т.вр.К77 - т.вр.К76,5
Электроснабжение,5
Устройство бетонной площадки (ВХ2.Поз.3),5
Приборы и оборудование (поз.50),5
Устройство свайного основания (ВХ3.Поз.4),5
WBS: ОКС 2916 - Куст-29.3.2.6.2 Сети технологические,5
Высоконапорный водовод. Трубопровод диаметром 168х10мм т.вр.К76 - т.вр.К76,5
WBS: ОКС 866 - Куст-36.3.3.1.8 Высоконапорный водовод. Трубопровод диаметром 168х10 мм К36 - т.вр. К36,5
"Приобретение и монтаж.Площадка КТП,станция управления (СУ) трансформаторов ТМПН (Куст 76)",5
Нефтесборный коллектор (Куст 7),5
Т.27 Станция азотно-воздушная (АС),5
Ограждение БПО,5
ВЗ/поз.345/Маслоприемники (Подстанция 35/10 кВ),5
Приобретение и монтаж технологического оборудования  емкости дренажной (V=8 м3) (Куст 74),4
Электрообогрев (поз.50),4
Строительные работы основания  блока технологического (Куст 68),4
Устройство системы водоснабжения,4
Монтаж оборудования (поз.66),4
Приобретение и монтаж технологического оборудования (Куст 1БИС),4
Монтаж оборудования (поз.43),4
"Площадка ВЖК (1.1, 1.4, 1.9, 2.1, 2.12.1)",4
Перекрытие над помещением №9 (поз.50),4
WBS: ОКС 853 - Куст-25.9.2.3.4 Строительные работы опор сетей инженерных,4
ПС (оси П-Т),4
Теплоизоляция резервуара,4
WBS: ОКС 8833 - ПС 35/10 №11 электромонтажные работы,4
Строительные работы основания  блока контроля и управления (Куст 75),4
Строительные работы основания  блока контроля и управления (Куст 57),4
Монтаж оборудования ЭМ и ЭО,4
Устройство основания. Измерительная установка (Куст 301),4
Устройство системы ВРУ,4
"WBS: ОКС 866 - Куст-35.9.2.7.13 Монтаж электрооборудования, молниезащиты и заземления",4
Строительные работы основания  блока технологического (Куст 7),4
WBS: ОКС 866 - Куст-34.9.3.1.17 Высоконапорный водовод Ду-114х8 К34 - т.вр.К34,4
"Площадка КТП, станция управления, трансформаторов ТМПН (АС)",4
ПНР/поз.155/Пуско-наладочные работы,4
ПНР/поз.338/Пуско-наладочные работы,4
" Устройство опор. Эстакада технологическая 4,6,9,11",4
Устройство системы ШУВ,4
ПНР/поз.5.2.1/ПНР,4
"Приобретение и монтаж технологического оборудования узла пуска очистного устройства (нефтегазопровод) (Куст 7, узел 7/59)",4
Строительные работы основания  блока технологического (Куст 45),4
WBS: ОКС 866 - Куст-35.9.2.7.10 Высоконапорные водоводы,4
Строительные работы основания  блока технологического (Куст 69),4
